Request URI,Date Time,Sum of Traffic
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:27:00+0000,61
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:28:00+0000,24
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/e3270e9a-e256-11e4-91e9-d3719c8974e9,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/f1bf5d8a-e257-11e4-8d8a-d75446746711,2015-04-30 03:28:00+0000,0
